Timestep,,BLTI,BRTI,C7,CHIN,CLAV,FBBT,FLTI,FRBT,FRTI,LAKI,LANK,LBAC,LBHD,LBWT,LELB,LELS,LELSO,LFBB,LFFB,LFFT,LFHD,LFIN,LFLB,LFLT,LFMT,LFPI,LFRM,LFWT,LHAP,LHEB,LHEE,LHFR,LHPI,LHTH,LHTO,LKNE,LKNI,LMT5,LSHN,LSHO,LTIA,LTIB,LTIC,LTOE,LTOP,LTOS,LUMB,LUMC,LWRA,LWRB,NOSE,RAKI,RANK,RBWT,RFBT,RFFB,RFFT,RFHD,RFIN,RFLB,RFLT,RFMB,RFMT,RFPI,RFRM,RFWT,RHBA,RHEB,RHEE,RHFR,RHME,RHPI,RHTH,RHTO,RIBL,RIBR,RITL,RITR,RKNE,RKNI,RMT5,RSHN,RSHO,RTIA,RTIB,RTIC,RTOE,RTOP,RTOS,RWRA,RWRB,THD,LHME,RHAP
All Timesteps RMSE,0,0.086869,0.0943126,0.0715871,0.0719404,0.0382374,0.0984825,0.253834,0.0993875,0.197808,0.34701,0.118623,0.0689329,0.0591105,0.100841,0.0861059,0.0890405,0.0929162,0.115909,0.0604174,0.0485671,0.0580615,0.23767,0.185854,0.05408,0.0403917,0.139423,0.264663,0.0900524,0.054802,0.129794,0.272436,0.211121,0.12684,0.140628,0.0789458,0.0914809,0.0731167,0.103311,0.0824152,0.0876546,0.082516,0.112547,0.289491,0.214797,0.138201,0.119816,0.0377028,0.0423272,0.122349,0.111522,0.0524968,0.117445,0.268132,0.0659571,0.106603,0.11781,0.0647129,0.0949789,0.200464,0.112852,0.0561033,0.0738781,0.050114,0.133334,0.0893307,0.0438675,0.0861604,0.257036,0.223342,0.0946987,0.189568,0.164651,0.231083,0.0853468,0.0401053,0.039941,0.196264,0.0613914,0.114797,0.0881035,0.121422,0.0979953,0.0716981,0.296246,0.121735,0.109635,0.154644,0.121486,0.113985,0.159293,0.120642,0.0585981,0.150978,0.0646428
0,0,0.277625,0.250028,0.0545125,0.029641,0.0437259,0.309031,0.255494,0.291803,0.288924,0.315672,0.328043,0.114274,0.0636757,0.101822,0.179465,0.147471,0.152287,0.19527,0.16917,0.111716,0.0246569,0.249895,0.613066,0.164975,0.0839862,0.294706,0.199446,0.065121,0.0493403,0.312408,0.29609,0.14366,0.240008,0.261567,0.158882,0.251776,0.258561,0.20397,0.278911,0.024733,0.270303,0.295873,0.306334,0.273485,0.307718,0.279346,0.0305239,0.0415828,0.156017,0.192267,0.0177392,0.301696,0.288172,0.0752244,0.0661599,0.268787,0.183622,0.0250973,0.211834,0.235328,0.133836,0.174352,0.0591863,0.378633,0.24841,0.0682935,0.164928,0.313935,0.303097,0.20545,0.258841,0.238011,0.212099,0.207158,0.0550614,0.0666054,0.0301888,0.0463696,0.217558,0.203045,0.3395,0.286611,0.0631753,0.320148,0.283557,0.286173,0.398487,0.359027,0.381562,0.212177,0.211633,0.0384516,0,0
1,0,0.154233,0,0.150065,0.214976,0.024267,0.249735,0.425075,0,0.161309,0.260387,0.265655,0.189262,0.133307,0,0.13941,0.122473,0.112291,0.136313,0.311999,0.223286,0.0988452,0.0624218,0.595764,0.125718,0.0872461,0.247941,0.126824,0.134257,0.0509894,0,0.192647,0.116202,0.0936323,0,0.0768676,0.181548,0.195584,0.167014,0,0,0.407091,0.455614,0.247197,0.237235,0.259312,0.239114,0.0308,0.0336142,0,0.0883382,0.0341771,0.157427,0.146022,0.101621,0,0.1488,0.0564373,0.125054,0,0.110522,0,0,0.0489336,0.208138,0,0.223259,0,0.169363,0.158901,0.146664,0.330251,0.108967,0.298514,0.140395,0,0.165607,0.207959,0.220356,0.115246,0,0.189974,0.146766,0.160677,0.184485,0.146234,0.138244,0.230213,0.190301,0.226203,0.338273,0.0970631,0.010747,0.0749644,0.0545692
2,0,0,0,0,0,0.0284709,0,0,0.0947777,0.0681714,0,0,0,0,0.162969,0.152336,0,0.12275,0,0,0,0,0.191478,0,0.0866821,0,0,0.169409,0,0.0694045,0.10893,0,0,0.170483,0,0,0,0,0,0.0878934,0.110653,0,0,0,0,0,0,0.0422657,0.040489,0.360112,0,0.0382314,0.0613881,0.0914781,0,0.040962,0.0789441,0,0,0.0896677,0.0400715,0.0252775,0,0.0823251,0.0842292,0.0182101,0,0.0644735,0.0875517,0.0921455,0,0.43543,0,0,0.0647438,0.058052,0,0,0,0,0.0760265,0.130854,0.0357435,0,0.0633109,0.0582798,0.0448159,0.0947899,0.0730671,0.108773,0,0,0.0157417,0,0.110116
3,0,0,0,0,0,0.0314027,0,0,0.21578,0.14758,0,0,0,0,0,0.19678,0.0886001,0.153214,0.0669979,0,0,0.140896,0,0.496538,0.0766515,0,0,0.228791,0,0.0846738,0,0,0,0.290101,0.293174,0,0.0827532,0.0692259,0,0.100579,0,0,0,0,0,0,0,0.0461031,0.0474014,0,0.259912,0.0314862,0.168775,0.204674,0,0,0.12935,0,0,0,0.103539,0.0709573,0.0748999,0.119369,0.125549,0,0,0,0.195931,0.175335,0,0,0.206964,0,0.0308538,0.0494281,0,0,0,0,0.14465,0.20079,0.125553,0,0.0828464,0.144161,0.178806,0.0990343,0.132054,0.127058,0,0.15844,0.0208376,0.326361,0.141928
4,0,0,0,0,0,0.0275253,0.300851,0,0.30775,0,0.348984,0.366058,0,0.0144103,0.176289,0.23088,0,0,0,0,0,0,0,0,0.0750484,0,0,0,0,0.0893536,0,0,0.166753,0,0,0.133063,0,0,0,0,0.116925,0,0,0.327234,0,0,0,0.0328216,0.0408665,0,0,0.039688,0.318589,0.325196,0,0,0.235865,0.13425,0.0327852,0,0,0.102924,0,0.139253,0,0.292273,0,0.0643214,0.290819,0,0.0586834,0,0,0,0.0659107,0.0321652,0,0,0,0,0,0,0.258321,0.114686,0.214157,0.284776,0.326554,0,0,0,0,0,0.0140459,0,0.162588
5,0,0,0,0.209026,0.206542,0.0339728,0,0,0,0.390429,0,0,0.206397,0,0,0,0.0719821,0,0.0696952,0,0,0.113103,0,0.496334,0.0537745,0.0822893,0.495625,0,0,0.0725222,0.595412,0,0,0,0.40615,0.127398,0.0928375,0.07545,0,0.146939,0.0940217,0,0,0,0.298574,0.473822,0.304879,0.0206672,0.0354451,0,0,0.0626674,0.440908,0,0.0694711,0.158026,0,0,0,0,0,0.101285,0.0425147,0.131302,0,0,0,0.0919568,0,0,0,0,0,0.241068,0.0923285,0,0,0.221482,0.17968,0,0.227819,0,0.371273,0.0961671,0.368504,0.444954,0.400055,0,0,0,0,0,0.0365585,0,0.178448
6,0,0,0.28003,0,0,0.0424151,0,0,0,0,0,0,0,0.0330413,0.184619,0.158397,0,0.124476,0,0,0.169079,0,0.207075,0,0,0,0,0.181962,0.143311,0.0470332,0,0,0.104472,0.229436,0,0.077098,0,0.032328,0.304606,0,0.0644491,0.087293,0,0,0,0,0,0.0206119,0.0332301,0,0,0.078655,0,0.379191,0,0,0.449801,0,0.0611783,0.133579,0,0.0712035,0.0568681,0.108963,0.358113,0,0.029589,0.0904005,0,0.381612,0,0,0,0,0.0950805,0.033319,0.0184337,0,0,0,0,0.413009,0,0.0901537,0.534108,0.543988,0,0,0.359324,0.35392,0,0,0.061861,0,0.164515
7,0,0,0,0.223694,0.194218,0.0404922,0,0.0632142,0.183808,0,0,0,0.23354,0,0,0,0.0942303,0,0.0334209,0.0515727,0,0.0502576,0,0,0.0713798,0.052425,0,0,0,0.0551499,0,0,0.0540952,0,0,0.0490633,0.0390921,0.0588239,0,0,0.0471647,0,0.0363488,0,0,0,0,0.0156083,0.026614,0.29816,0,0.0755989,0,0,0.0812902,0,0,0.0763023,0.086908,0.17542,0.0713954,0.0203971,0.109081,0.0798281,0,0,0.0303841,0.0695398,0,0,0.0769886,0.227081,0.146588,0,0.0764732,0,0.0250046,0.217105,0.0491467,0,0,0,0,0.0997066,0,0,0,0.292694,0,0,0,0.0601842,0.0676287,0.265424,0
8,0,0,0,0,0,0.025704,0,0,0,0,0,0,0,0.0418272,0,0.0640062,0,0,0,0,0,0,0.145462,0.13862,0.127684,0.0929634,0,0,0.0231102,0.0559678,0,0,0.0268198,0,0,0.0526153,0,0.154219,0,0.144287,0.0393379,0,0,0,0,0,0,0.0231778,0.0355891,0,0.140659,0.0557283,0,0,0.0897314,0.0655364,0,0,0.0940363,0.22436,0,0.0455921,0.168955,0.0528174,0,0,0.0319403,0.0406298,0.0652707,0,0.0471138,0,0,0,0.0414621,0,0.0282094,0,0,0,0,0,0,0.101828,0,0,0,0,0,0,0,0.118724,0.0631864,0,0.0428264
