Timestep,BLTI,BRTI,C7,CHIN,CLAV,FBBT,FLTI,FRBT,FRTI,LAKI,LANK,LBAC,LBHD,LBWT,LELB,LELS,LELSO,LFBB,LFBT,LFFB,LFFT,LFHD,LFIN,LFLB,LFLT,LFMB,LFMT,LFPI,LFRM,LFWT,LHAP,LHBA,LHEB,LHEE,LHFR,LHME,LHPI,LHTH,LHTO,LKNE,LKNI,LMT5,LSCA,LSHN,LSHO,LTIA,LTIB,LTIC,LTOE,LTOP,LTOS,LUMB,LUMC,LWRA,LWRB,NOSE,RAKI,RANK,RBAC,RBHD,RBWT,RELB,RELS,RELSO,RFBB,RFBT,RFFB,RFFT,RFHD,RFIN,RFLB,RFLT,RFMB,RFMT,RFPI,RFRM,RFWT,RHAP,RHBA,RHEB,RHEE,RHFR,RHME,RHPI,RHTH,RHTO,RIBL,RIBR,RITL,RITR,RKNE,RKNI,RMT5,RSCA,RSHN,RSHO,RTIA,RTIB,RTIC,RTOE,RTOP,RTOS,RWRA,RWRB,THD
All Timesteps RMSE,0.0205635,0.0269986,0.0289397,0.0150937,0.0138959,0.0223169,0.017659,0.0295466,0.0230962,0.0286273,0.0288352,0.0116428,0.0163621,0.0108118,0.0160803,0.0111788,0.0125863,0.0104147,0.00886876,0.011308,0.00998002,0.011923,0.0210708,0.0111613,0.00940847,0.00971243,0.00996288,0.0304532,0.0130657,0.00931907,0.0107195,0.011102,0.0311272,0.0297992,0.0105844,0.0204128,0.0181653,0.0159879,0.0111705,0.0157299,0.0152382,0.0298227,0.0124941,0.0148223,0.026809,0.0136479,0.0190514,0.0239851,0.0309298,0.0296172,0.0307313,0.0166875,0.0212727,0.0168051,0.0166884,0.0133455,0.038102,0.0375576,0.0115738,0.0155953,0.0152977,0.020013,0.0120146,0.0131642,0.0133032,0.011123,0.0162559,0.0106632,0.0138765,0.0169108,0.0147855,0.0108009,0.0126801,0.0107952,0.0403525,0.0123043,0.00979653,0.0114251,0.0123049,0.0413241,0.0392569,0.0112934,0.0137383,0.0149297,0.0122133,0.012318,0.0117324,0.0100178,0.0159034,0.0184234,0.0196228,0.018162,0.0397961,0.0158157,0.0227584,0.0222684,0.0184105,0.0233327,0.0316012,0.0410227,0.0400662,0.0405042,0.0135819,0.0142649,0.0135348
0,0.045604,0.00706548,0.0217114,0.00614565,0.00812917,0.0465908,0.0440479,0.00652614,0.00780439,0.0490532,0.0428361,0.00916783,0.0168308,0.0126442,0.00878088,0.0111261,0.0110025,0.032654,0.0256879,0.0369564,0.0270369,0.0105683,0.00579221,0.0333261,0.0210237,0.0345508,0.0265415,0.0457901,0.00930472,0.0100122,0.00997434,0.00891457,0.0548614,0.0536648,0.00762131,0.0154751,0.00802607,0.00908719,0.00632158,0.0444188,0.0354015,0.0494855,0.012019,0.0428801,0.0290507,0.0415366,0.0451019,0.0471746,0.048583,0.0513095,0.0504019,0.0218658,0.0265679,0.0132431,0.014933,0.00886928,0.0121378,0.0109311,0.0122335,0.0158813,0.0147227,0.0299177,0.0164251,0.013886,0.0109605,0.0158733,0.00833665,0.0148938,0.0114872,0.0185546,0.0089582,0.0119287,0.0118934,0.0167214,0.00773153,0.0164093,0.0140981,0.0132387,0.0146454,0.00896773,0.00865552,0.0137725,0.0210706,0.0108386,0.0195548,0.0149653,0.0085597,0.00949897,0.0164652,0.0195984,0.0121657,0.00399692,0.00555687,0.00686655,0.00886572,0.0282763,0.0100748,0.00802847,0.00595041,0.00685454,0.00801513,0.00974691,0.014235,0.0203228,0.0163927
1,0.0319099,0.00301722,0.0216482,0.00714999,0.00849132,0.0328406,0.0304355,0.00159399,0.00334059,0.0356414,0.0296403,0.00623824,0.0139917,0.0105192,0.0115043,0.00901908,0.00622505,0.0218935,0.0186373,0.0248,0.0204356,0.00650002,0.0115574,0.0220242,0.0148424,0.0237191,0.0201218,0.0322598,0.00584571,0.0102683,0.00820083,0.00589143,0.0408749,0.0398794,0.00658793,0.0100317,0.00270023,0.00811848,0.00406859,0.0316118,0.0227739,0.0356749,0.00705046,0.0292326,0.0256373,0.0279657,0.0314068,0.0334093,0.0349455,0.0375826,0.0363124,0.0203879,0.0252451,0.00788355,0.0112019,0.0054,0.0141132,0.0107145,0.00824723,0.0122918,0.0157164,0.0232432,0.0122219,0.0102636,0.00719967,0.0130788,0.00441461,0.0120746,0.00797443,0.0108309,0.00500322,0.00921363,0.0083102,0.0141248,0.00328578,0.0104795,0.0131419,0.00902408,0.0097288,0.00663371,0.00441645,0.00923001,0.0152545,0.00630946,0.0132554,0.00994199,0.00638858,0.00714243,0.0148973,0.0172058,0.0106347,0.00293042,0.00157275,0.00791015,0.00431536,0.0246519,0.00588007,0.00350674,0.00101065,0.00517658,0.00480261,0.00835677,0.0108023,0.0156502,0.0112505
2,0.0212307,0.00239639,0.0227312,0.00971698,0.0102649,0.0222296,0.0197196,0.00157994,0.000981696,0.0259104,0.0197013,0.00717498,0.0127342,0.00937557,0.0159576,0.01073,0.0051101,0.0130778,0.0130568,0.0148174,0.0151128,0.00500189,0.0174337,0.0127278,0.0103305,0.0148376,0.0149712,0.0220768,0.0082856,0.0109778,0.00970033,0.00738224,0.0308216,0.0297804,0.0090763,0.0103672,0.00510671,0.0120782,0.0065319,0.0214212,0.0131628,0.0254911,0.0040668,0.0180542,0.0244782,0.0169317,0.020619,0.0229323,0.0250641,0.0273291,0.0264061,0.019812,0.0245323,0.00589528,0.0125814,0.00544651,0.0158915,0.011959,0.00743159,0.0109587,0.0171948,0.0184688,0.0102744,0.00957907,0.00507436,0.0115098,0.00206713,0.010265,0.00804675,0.00834527,0.00264551,0.00764972,0.00630564,0.0126776,0.00401873,0.0073539,0.0130198,0.00745989,0.0077866,0.00724297,0.0039116,0.00705846,0.0118271,0.0067405,0.00943304,0.00758912,0.00701045,0.00715697,0.0153952,0.0168806,0.0103216,0.0043313,0.00435938,0.0115718,0.00166093,0.0229826,0.0034701,0.00105164,0.00224043,0.00650083,0.00579226,0.00969527,0.00963114,0.0134295,0.00824105
3,0.0127425,0.00176554,0.0243142,0.0110927,0.0113584,0.0138621,0.0108594,0.00208905,0.00112672,0.0186868,0.0128507,0.00922884,0.0123913,0.00853712,0.0195716,0.0134101,0.00740506,0.00543096,0.00860174,0.006053,0.0109171,0.00536059,0.0223201,0.00468054,0.00778028,0.00703448,0.0107934,0.0143976,0.0119533,0.0116693,0.0118721,0.0102188,0.023995,0.0229145,0.0116877,0.0137237,0.00986295,0.0160238,0.00928566,0.0127182,0.00742637,0.0180905,0.00387526,0.00814276,0.0248839,0.00714658,0.0116881,0.0149509,0.0180334,0.0197539,0.020076,0.0194394,0.0238763,0.00785313,0.0155781,0.00671155,0.0151128,0.0130881,0.00860716,0.0111503,0.0181156,0.0152733,0.0090265,0.00970287,0.00545859,0.0115168,0.00177698,0.00998041,0.00971766,0.0100893,0.00328818,0.00795848,0.00636027,0.0125187,0.0042823,0.00534167,0.0136077,0.00742812,0.00762685,0.00565847,0.00445934,0.00615989,0.00797858,0.00768925,0.00624522,0.00718296,0.00872459,0.00840806,0.0168402,0.0178554,0.00951315,0.00552704,0.00379074,0.0145144,0.00139325,0.0230133,0.00315735,0.00140785,0.00265654,0.00700692,0.00415358,0.00881079,0.00845397,0.0112196,0.00817382
4,0.0068116,0.00205846,0.0252078,0.011241,0.0118304,0.00713834,0.00403126,0.00208177,0.0022591,0.0124316,0.00987251,0.0107502,0.0128201,0.00774127,0.0215033,0.0147985,0.00885393,0.00414482,0.00597535,0.00474404,0.00836313,0.00591023,0.0244551,0.00561103,0.008334,0.00288289,0.00763095,0.00824471,0.0136112,0.0123632,0.0133552,0.0119207,0.0184292,0.01776,0.0132815,0.0144311,0.0119978,0.017253,0.010993,0.00818157,0.0106879,0.0117222,0.00489808,0.00354157,0.0255998,0.00276937,0.00459808,0.00855152,0.0121372,0.0135125,0.0148988,0.0190009,0.0231566,0.00896996,0.0163754,0.00712465,0.014142,0.0124847,0.00984987,0.011858,0.0185494,0.0130844,0.00849121,0.010432,0.00626042,0.0118155,0.00260478,0.00995822,0.0106002,0.0117014,0.00403368,0.00832688,0.0070227,0.0126091,0.0033569,0.00490145,0.0140591,0.00786213,0.00818683,0.00558017,0.00502964,0.00607144,0.0064143,0.0094606,0.00458822,0.00759208,0.0104085,0.00969006,0.0181083,0.0189544,0.00956959,0.00550686,0.00204653,0.0163126,0.00277135,0.0236513,0.00392165,0.00245543,0.00227365,0.00582139,0.00410748,0.00819407,0.00885451,0.0103024,0.00912508
5,0.00800529,0.00278094,0.0249758,0.0110067,0.0117571,0.00556659,0.00758724,0.00278137,0.00300787,0.00694902,0.012417,0.0111011,0.0131017,0.0072574,0.0222326,0.0151917,0.00929839,0.010652,0.00651015,0.012308,0.00794072,0.00562979,0.025011,0.0129092,0.0107326,0.00870734,0.00612609,0.00504237,0.0141516,0.0127232,0.0137857,0.0124102,0.011209,0.01197,0.013709,0.0146429,0.0126836,0.017428,0.0114198,0.0120046,0.0188506,0.00351263,0.00530265,0.0116847,0.025762,0.0115681,0.00698101,0.00540059,0.0054236,0.00648504,0.0090298,0.0186209,0.0227042,0.00908254,0.016692,0.0064645,0.0139797,0.0122576,0.0101489,0.0119106,0.0185677,0.0117888,0.00827747,0.0109513,0.00640463,0.0115366,0.00316478,0.00950517,0.0101756,0.0121596,0.00429496,0.00826546,0.00702853,0.0121395,0.00359248,0.00533711,0.0140698,0.00784428,0.00842462,0.00610477,0.005893,0.00600868,0.00699691,0.0114325,0.00376602,0.00765901,0.0111963,0.0103708,0.0182319,0.0190691,0.00992542,0.00569155,0.00169389,0.0166419,0.00372118,0.0237088,0.00430985,0.00321812,0.00280764,0.00586828,0.00468027,0.00769902,0.0101249,0.0103252,0.00879776
6,0.0169734,0.00428679,0.0247032,0.0118521,0.0118352,0.0148884,0.0174353,0.00406504,0.0042231,0.0121258,0.0208984,0.0099885,0.0125004,0.00697786,0.0220914,0.0147143,0.0085838,0.0181743,0.0100938,0.0207812,0.0100399,0.00468823,0.0263095,0.0208557,0.0140229,0.0161372,0.0077359,0.0144327,0.0141311,0.0127361,0.0128981,0.0115314,0.00872503,0.0116996,0.0130605,0.0158471,0.0139799,0.0181846,0.0104787,0.0204914,0.0282256,0.00964278,0.00420423,0.0218808,0.0241049,0.0215234,0.0170525,0.0137786,0.0108877,0.0101359,0.011533,0.0179523,0.0222621,0.00876569,0.0171725,0.00667703,0.0145318,0.0114578,0.00916646,0.0113773,0.0180567,0.0111903,0.00756858,0.0105908,0.00629764,0.0108559,0.00439327,0.00895688,0.010026,0.0130193,0.00465028,0.00805465,0.00681216,0.0112962,0.00470283,0.00527922,0.0137207,0.00697114,0.00782157,0.00793027,0.00733881,0.00528594,0.00752784,0.0123287,0.00410332,0.00698671,0.0111746,0.0103831,0.0168773,0.0178683,0.011266,0.0059605,0.00294257,0.0159789,0.00539243,0.0224574,0.00507529,0.00447448,0.00390341,0.00644928,0.00677027,0.00710385,0.010417,0.0102617,0.00712729
7,0.0262561,0.00658563,0.0249677,0.0136901,0.0122702,0.0246564,0.0266969,0.00607559,0.00605725,0.0217011,0.0304144,0.00793581,0.0119199,0.0072082,0.0210691,0.013382,0.00698621,0.0247272,0.0143227,0.0279696,0.0128561,0.00551092,0.0273284,0.0274726,0.0167963,0.0227111,0.0109286,0.025105,0.0134107,0.0119039,0.0109251,0.0095458,0.0162966,0.0187884,0.0114943,0.017103,0.0150023,0.0187546,0.0086006,0.0284622,0.0365958,0.0204051,0.00309047,0.0309592,0.0213483,0.0302479,0.0266029,0.0235357,0.0212342,0.0201324,0.0206849,0.0168932,0.0216337,0.00810817,0.0173752,0.00880927,0.0157841,0.0100543,0.00719997,0.0112136,0.0172513,0.0114334,0.00585303,0.00920252,0.00597444,0.00969852,0.00589821,0.00793442,0.0111276,0.0157197,0.00494762,0.00711901,0.00647885,0.00998522,0.00652327,0.00453642,0.0124071,0.00520932,0.00635282,0.0110616,0.00956991,0.00387376,0.00675575,0.0118122,0.006096,0.00573474,0.0105026,0.00939735,0.0143384,0.0155457,0.0132102,0.00633551,0.00537123,0.0150022,0.0075463,0.0198192,0.00633641,0.00628866,0.00578953,0.00691793,0.0101719,0.00789096,0.00893019,0.00946084,0.0063077
8,0.0351236,0.00846004,0.0255234,0.0150002,0.0125363,0.0346037,0.0350313,0.00808625,0.00764512,0.033004,0.0411358,0.00592534,0.0119565,0.00774713,0.0187099,0.0112036,0.00490439,0.0288411,0.0177996,0.0324517,0.0156024,0.00713451,0.0245266,0.0312781,0.0183318,0.027277,0.0143024,0.0377087,0.0111739,0.0102866,0.00847754,0.00702485,0.0279349,0.0292657,0.00901592,0.0157839,0.0125836,0.0165997,0.00614348,0.0336003,0.0423911,0.0330687,0.00397907,0.0379016,0.0198189,0.0366503,0.0354757,0.0339472,0.0337665,0.0324104,0.0330121,0.0155659,0.0207026,0.00600814,0.0161627,0.0107144,0.016928,0.00924895,0.00519459,0.0114688,0.0163177,0.0117821,0.00426741,0.00841432,0.00519071,0.00813167,0.0068062,0.00636338,0.012166,0.0181342,0.00458074,0.00515653,0.00595337,0.00831828,0.00911043,0.00502114,0.0100121,0.00384219,0.00528724,0.0140217,0.0119135,0.00366238,0.00738285,0.0125054,0.00814038,0.00515428,0.00970494,0.00757124,0.0119147,0.0134187,0.014329,0.00672161,0.00829621,0.0141427,0.00914147,0.0171812,0.00731631,0.00785489,0.00785708,0.00836547,0.0134151,0.0100512,0.00885181,0.00916718,0.00665045
